Account,Day,Details,Amount,Transaction ID,Business Name
Zoe Gomez (Katara Jewels Daily Wage),85,Wage,-128.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),85,Wage,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,85,Revenue,1600.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,85,Marketing,-600.0,15.0,Katara Jewels
Katara Jewels Revenue,86,Revenue,1200.0,15.0,Katara Jewels
Zoe Gomez (Katara Jewels Daily Wage),86,Wage,-128.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),86,Wage,-100.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,86,Marketing,-600.0,15.0,Katara Jewels
Katara Jewels Revenue,87,Revenue,1200.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),87,Wage,-100.0,15.0,Katara Jewels
Zoe Gomez (Katara Jewels Daily Wage),87,Wage,-192.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,87,Marketing,-600.0,15.0,Katara Jewels
Zoe Gomez (Katara Jewels Daily Wage),88,Wage,-128.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),88,Wage,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,88,Revenue,600.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,88,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,89,Revenue,1600.0,15.0,Katara Jewels
Katherine Moss (Katara Jewels Daily Wage),89,Wage,-150.0,15.0,Katara Jewels
Zoe Gomez (Katara Jewels Daily Wage),89,Wage,-128.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,89,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,90,Revenue,800.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,90,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,91,Revenue,1200.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,91,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,92,Revenue,1200.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,92,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,93,Revenue,600.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,93,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,94,Revenue,600.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,94,Marketing,-100.0,15.0,Katara Jewels
Maria Willis (Katara Jewels Daily Wage),95,Wage,-200.0,15.0,Katara Jewels
Lindsey Richardson (Katara Jewels Daily Wage),95,Wage,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,95,Revenue,600.0,15.0,Katara Jewels
Marketing campaigns for Katara Jewels,95,Marketing,-100.0,15.0,Katara Jewels
Katara Jewels Revenue,96,Revenue,1200.0,15.0,Katara Jewels
Lindsey Richardson (Katara Jewels Daily Wage),96,Wage,-200.0,15.0,Katara Jewels
